Date,MaxTemp,MinTemp,MeanTemp,Rainfall
20/10/2019,20.1,7.9,14,0
21/10/2019,18.6,10.8,14.7,5.8
22/10/2019,18.4,9,13.7,4
23/10/2019,17,5.8,11.4,0.4
24/10/2019,16.1,8.7,12.4,0
25/10/2019,17.5,5.3,11.4,0
26/10/2019,20.3,8.5,14.4,0
27/10/2019,25.3,8.4,16.9,0
28/10/2019,21.1,11.4,16.2,1
29/10/2019,19.5,7.8,13.7,0
30/10/2019,20,10.2,15.1,0
31/10/2019,19.8,9.3,14.6,0
1/11/2019,20.6,9.1,14.9,0
2/11/2019,23.5,10.2,16.9,0
3/11/2019,31.5,13.6,22.6,0
4/11/2019,30.1,11.3,20.7,0
5/11/2019,28.8,11.4,20.1,0
6/11/2019,24.9,14,19.4,0
7/11/2019,22.9,14.6,18.8,0
8/11/2019,22.5,16.4,19.4,0
9/11/2019,21.4,16.2,18.8,9
10/11/2019,18.1,12.8,15.5,45
11/11/2019,19.4,10.7,15,0
12/11/2019,19.1,6.2,12.7,0
13/11/2019,19.8,8.6,14.2,4.8
14/11/2019,21.1,11.7,16.4,2.8
15/11/2019,18.8,7.9,13.4,0
16/11/2019,23.1,11.3,17.2,0
,,,,
